ds,yhat,yhat_lower,yhat_upper
2015-01-01,6718968.887810689,2903721.893488799,11218293.49077771
2015-01-02,1606792.0348079875,-2209336.63865408,5499117.740683198
2015-01-03,1027284.2073943708,-2898793.712281059,4868399.658020549
2015-01-04,380546.3848784361,-3382867.505120642,4405063.362319478
2015-01-05,241050.280863218,-3679919.4443502226,4248727.74031724
2015-01-06,275297.25445385836,-3748850.917242929,3911357.4528907198
2015-01-07,212407.22366463952,-3623302.96909028,4371461.671154408
2015-01-08,3214870.630382562,-753134.9669019128,6889921.143558545
2015-01-09,221383.0747477021,-3727432.8556076065,3911577.2688872055
2015-01-10,783757.2522216011,-2979218.3728871434,4613371.387613004
2015-01-11,511819.0554222688,-3386757.9733294975,4575873.320305235
2015-01-12,215151.4283494372,-3844948.232054099,3870027.463325771
2016-01-01,3999307.7321064174,302466.9524085838,7940966.074324345
2016-01-02,2340286.5614063498,-1529636.405735325,6443390.200362932
2016-01-03,879636.1129250936,-2639717.5080421926,4885934.851968998
2016-01-04,176699.2760837376,-3393752.114428453,4121136.881774135
2016-01-05,-126978.80483824946,-3966833.8070077924,3874983.9643418444
2016-01-06,-335715.3720732853,-4415580.431349534,3617394.0856358856
2016-01-07,2672675.49760668,-1324749.1706901628,6761804.743448195
2016-01-08,-208458.69187083095,-4151642.602418713,3769554.937003759
2016-01-09,524273.9113682341,-3528818.419987684,4591898.023202949
2016-01-10,431256.15702199563,-3406137.0385620403,4273751.83958237
2016-01-11,273666.6220546905,-3501313.640993051,4196926.40362818
2016-01-12,-77234.93667312525,-4219083.300083399,3901471.160363336
2017-01-01,2437257.854488168,-1494185.548185355,6316078.597999795
2017-01-02,855017.4055523258,-3054780.739994925,4898677.50262116
2017-01-03,-72742.88106694631,-3660362.6296127397,4138909.350215318
2017-01-04,-672954.2651078738,-4890005.909054808,3363603.472645698
2017-01-05,2145110.496654896,-1618250.9720801692,6039496.536326167
2017-01-06,-763952.5780307427,-4868164.765980375,2881196.442819798
2017-01-07,58981.01381400041,-3426168.483028328,3995495.160727584
2017-01-08,126451.16256861947,-3831946.9088225802,3938384.9255795684
2017-01-09,150254.95607705414,-3777754.546319936,4110485.7918731705
2017-01-10,-47203.03841442242,-4166064.8727303077,3908303.6242681574
2017-01-11,-569176.8414862696,-4449573.629185323,3329013.259412231
2017-01-12,1919006.581084583,-1966952.0958580873,5886563.84282687
2018-01-01,2674045.225316016,-1295245.5121145414,6695523.874886505
2018-01-02,800804.5979224332,-3071386.0648335097,4924873.629898651
2018-01-03,-485550.08014024794,-4121445.9642428807,3432881.721683124
2018-01-04,1885516.32212138,-1898998.627484951,5646565.750845268
2018-01-05,-1260783.1162072346,-5037015.086269775,2675895.305642867
2018-01-06,-502410.9837511759,-4536860.1701518465,3582271.1913101193
2018-01-07,-369892.4000447877,-4164653.339136816,3586136.1927184043
2018-01-08,-198567.6960769035,-4142924.1398876174,3970734.757841188
2018-01-09,-215222.84735533968,-4183310.9961891565,3815778.0374820633
2018-01-10,-572291.1122223232,-4614508.051559138,3170558.280157182
2018-01-11,2017772.581824381,-1895784.2229926214,6066844.5633113105
2018-01-12,-1379961.0447235163,-5457550.129331549,2632358.0952159357
2019-01-01,2898115.133548327,-1291662.8161597175,6891737.180980351
2019-01-02,599486.2220390439,-3273980.745095024,4561632.441551768
2019-01-03,2221080.3764371593,-1610373.5564811248,6409851.919732675
2019-01-04,-1429584.6911704503,-5253709.483204169,2426388.5828687847
2019-01-05,-957685.5889599063,-4758892.738118007,3062657.321896501
2019-01-06,-929061.9484119136,-4957892.83676865,2938040.0557283848
2019-01-07,-720797.3558625206,-4743057.5353169255,3221708.082876104
2019-01-08,-605983.1233093161,-4639065.7672545295,3264594.8619958935
2019-01-09,-785922.7374336049,-4746164.763261123,3039372.973001821
2019-01-10,1977553.4218735509,-1764545.5092889038,5823198.365361349
2019-01-11,-1298312.0199790988,-5213935.889391118,2900944.959396749
2019-01-12,-983584.440789314,-4552434.724151863,3045253.7562801326
2020-01-01,2992001.957101617,-678176.8891244794,7062191.559402625
2020-01-02,3534082.7682101484,-332556.71007673955,7438544.706504932
2020-01-03,-930494.9253135156,-4787818.798671199,2953074.234681984
2020-01-04,-1022036.5559335295,-4958591.720780151,2748079.65304111
2020-01-05,-1331337.969903987,-5056099.303818604,2686802.3052319586
2020-01-06,-1268919.9138000775,-5331019.370635133,2748256.7250133073
2020-01-07,-1148178.2182761822,-5202162.721211465,2858031.703712632
2020-01-08,-1215764.466286216,-4919660.039208835,2827542.44604437
2020-01-09,1718070.1187654175,-2181232.136671041,5523516.410968869
2020-01-10,-1378874.8806749284,-5279729.371514518,2718336.8053996293
2020-01-11,-925069.2094190698,-4690569.3135004295,3106547.150502263
2020-01-12,-1281594.1012220066,-5252017.48072,2468633.197036661
2021-01-01,627126.8404799942,-3264327.749067638,4777358.979572348
2021-01-02,-343718.40220125765,-4340751.749755816,3712654.042281497
2021-01-03,-1277102.021926375,-5459896.940163627,2576583.7675101995
2021-01-04,-1606158.7826312054,-5546161.59382364,2295623.8002097905
2021-02-01,139465685.50684264,135739151.92945382,142970631.7433624
2021-03-01,-141580900.00128308,-145527649.4615353,-137695721.9910053
2021-04-01,-15875065.916320635,-19825014.67132268,-11816561.251546446
2021-05-01,51571930.718590304,47631834.3412159,55162412.69900421
2021-06-01,49484598.66996192,45645994.82835797,53336390.33962032
2021-07-01,2894260.293360427,-1251086.5637788544,6638384.12335967
2021-08-01,-53576619.73221879,-57582797.42603006,-49634243.45787434
2021-09-01,-94297054.22684409,-98226757.45967124,-90465783.10252506
2021-10-01,-80693129.58778971,-84424864.77289422,-76632221.22028252
2021-11-01,23475577.97663176,19521751.25331861,27038761.21282728
2021-12-01,280232230.72620624,276110514.2458098,284265382.7991135
2022-01-01,1475309.4247049745,-2423638.9340192443,5363633.902161875
2022-02-01,135648529.73285887,131546902.25210458,139411302.19709212
2022-03-01,-140090201.30740944,-143960494.2820446,-136219492.94671488
2022-04-01,-15190768.115592074,-18994593.501757666,-11496978.62793371
2022-05-01,52867896.707383305,48942342.31287782,56853407.04378698
2022-06-01,47891576.8606101,44059705.834693894,51812934.03702801
2022-07-01,-3389525.8498461563,-7306129.598997705,735095.4971287973
2022-08-01,-56434622.52004664,-60246580.62517461,-52430076.60573359
2022-09-01,-92243273.22993356,-96083804.45836486,-88671147.36337142
