ds,y,yhat
2009-03-01,249741.0,250215.42
2009-04-01,251374.0,249357.66
2009-05-01,258276.0,258140.3
2009-06-01,258395.0,258140.3
2009-07-01,264472.0,260329.33
2009-08-01,260297.0,260570.94
2009-09-01,241970.0,241035.62
2009-10-01,252209.0,253827.72
2009-11-01,237264.0,239173.33
2009-12-01,239593.0,241050.55
2010-01-01,220839.0,226571.31
2010-02-01,210635.0,217599.36
2010-03-01,254238.0,250215.42
2010-04-01,253936.0,249357.66
2010-05-01,256927.0,258140.3
2010-06-01,260083.0,258140.3
2010-07-01,265315.0,260329.33
2010-08-01,263837.0,260570.94
2010-09-01,244682.0,241035.62
2010-10-01,256395.0,253827.72
2010-11-01,239579.0,239173.33
2010-12-01,240800.0,241050.55
2011-01-01,223790.0,226571.31
2011-02-01,213463.0,217599.36
2011-03-01,253124.0,250215.42
2011-04-01,249578.0,249357.66
2011-05-01,254083.0,258140.3
2011-06-01,258350.0,258140.3
2011-07-01,260175.0,260329.33
2011-08-01,260526.0,260570.94
2011-09-01,242062.0,241035.62
2011-10-01,251906.0,253827.72
2011-11-01,238535.0,239173.33
2011-12-01,244810.0,241050.55
2012-01-01,227527.0,226571.31
2012-02-01,218196.0,217599.36
2012-03-01,256166.0,250215.42
2012-04-01,249394.0,249357.66
2012-05-01,260774.0,258140.3
2012-06-01,260376.0,258140.3
2012-07-01,260244.0,260329.33
2012-08-01,264379.0,260570.94
2012-09-01,238867.0,241035.62
2012-10-01,253574.0,253827.72
2012-11-01,240361.0,239173.33
2012-12-01,238709.0,241050.55
2013-01-01,229419.0,226571.31
2013-02-01,215803.0,217599.36
2013-03-01,253026.0,250215.42
2013-04-01,252064.0,249357.66
2013-05-01,263406.0,258140.3
2013-06-01,259980.0,258140.3
2013-07-01,263946.0,260329.33
2013-08-01,268061.0,260570.94
2013-09-01,242536.0,241035.62
2013-10-01,258748.0,253827.72
2013-11-01,240055.0,239173.33
2013-12-01,241237.0,241050.55
2014-01-01,226413.0,226571.31
2014-02-01,213949.0,217599.36
2014-03-01,253424.0,250215.42
2014-04-01,256736.0,249357.66
2014-05-01,266237.0,258140.3
2014-06-01,263459.0,258140.3
2014-07-01,270053.0,260329.33
2014-08-01,268831.0,260570.94
2014-09-01,247688.0,241035.62
2014-10-01,265144.0,253827.72
2014-11-01,241451.0,239173.33
2014-12-01,252271.0,241050.55
2015-01-01,233498.0,226571.31
2015-02-01,217220.0,217599.36
2015-03-01,258017.0,250215.42
2015-04-01,262817.0,249357.66
2015-05-01,270839.0,258140.3
2015-06-01,270574.0,258140.3
2015-07-01,278372.0,260329.33
2015-08-01,272209.0,260570.94
2015-09-01,255090.0,241035.62
2015-10-01,268469.0,253827.72
2015-11-01,248843.0,239173.33
2015-12-01,259424.0,241050.55
2016-01-01,239679.0,226571.31
2016-02-01,223011.0,217599.36
2016-03-01,265147.0,250215.42
2016-04-01,269653.0,249357.66
2016-05-01,277972.0,258140.3
2016-06-01,276991.0,258140.3
2016-07-01,285160.0,260329.33
2016-08-01,279213.0,260570.94
2016-09-01,262039.0,241035.62
2016-10-01,275610.0,253827.72
2016-11-01,255154.0,239173.33
2016-12-01,264778.0,241050.55
2017-01-01,244587.0,226571.31
2017-02-01,226947.0,217599.36
2017-03-01,267355.0,250215.42
2017-04-01,272904.0,249357.66
2017-05-01,283956.0,258140.3
2017-06-01,280537.0,258140.3
2017-07-01,287343.0,260329.33
2017-08-01,283184.0,260570.94
2017-09-01,262673.0,241035.62
2017-10-01,278937.0,253827.72
2017-11-01,257712.0,239173.33
2017-12-01,266535.0,241050.55
2018-01-01,245695.0,226571.31
2018-02-01,226660.0,217599.36
2018-03-01,268480.0,250215.42
2018-04-01,272475.0,249357.66
2018-05-01,286164.0,258140.3
2018-06-01,280877.0,258140.3
2018-07-01,288145.0,260329.33
2018-08-01,286608.0,260570.94
2018-09-01,260595.0,241035.62
2018-10-01,282174.0,253827.72
2018-11-01,258590.0,239173.33
2018-12-01,268413.0,241050.55
