ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1970-01-01,94251.365065,70196.0437923078,80871.3238176716,94251.365065,94251.365065,-18586.9834007,-18586.9834007,-18586.9834007,-18586.9834007,-18586.9834007,-18586.9834007,0.0,0.0,0.0,75664.3816643
1970-02-01,94561.16455043771,61480.406440623425,72844.94666164283,94561.16455043771,94561.16455043771,-27342.51536892757,-27342.51536892757,-27342.51536892757,-27342.51536892757,-27342.51536892757,-27342.51536892757,0.0,0.0,0.0,67218.64918151015
1970-03-01,94840.98344051048,89478.30512713145,100187.41617126593,94840.98344051048,94840.98344051048,16.39713050465029,16.39713050465029,16.39713050465029,16.39713050465029,16.39713050465029,16.39713050465029,0.0,0.0,0.0,94857.38057101512
1970-04-01,95150.78292594818,89519.63275505978,100453.28674958397,95150.78292594818,95150.78292594818,149.6307200299875,149.6307200299875,149.6307200299875,149.6307200299875,149.6307200299875,149.6307200299875,0.0,0.0,0.0,95300.41364597817
1970-05-01,95450.58887959756,99595.28687903476,110982.89575128719,95450.58887959756,95450.58887959756,9821.566368456159,9821.566368456159,9821.566368456159,9821.566368456159,9821.566368456159,9821.566368456159,0.0,0.0,0.0,105272.15524805372
1970-06-01,95760.38836503527,100122.45498935343,111258.57316609225,95760.38836503527,95760.38836503527,9791.533185169736,9791.533185169736,9791.533185169736,9791.533185169736,9791.533185169736,9791.533185169736,0.0,0.0,0.0,105551.921550205
1970-07-01,96060.19431868466,106647.48366043527,117579.17941039025,96060.19431868466,96060.19431868466,16132.394785324112,16132.394785324112,16132.394785324112,16132.394785324112,16132.394785324112,16132.394785324112,0.0,0.0,0.0,112192.58910400877
1970-08-01,96369.99380412236,107171.93479780028,118228.94868296383,96369.99380412236,96369.99380412236,16477.051319719703,16477.051319719703,16477.051319719703,16477.051319719703,16477.051319719703,16477.051319719703,0.0,0.0,0.0,112847.04512384206
1970-09-01,96679.79328956007,89310.31637897762,100610.41469163081,96679.79328956007,96679.79328956007,-1838.7949620354752,-1838.7949620354752,-1838.7949620354752,-1838.7949620354752,-1838.7949620354752,-1838.7949620354752,0.0,0.0,0.0,94840.99832752459
1970-10-01,96979.59924320945,97238.06366439437,107793.19817127154,96979.59924320945,96979.59924320945,5483.029190894108,5483.029190894108,5483.029190894108,5483.029190894108,5483.029190894108,5483.029190894108,0.0,0.0,0.0,102462.62843410356
1970-11-01,97289.39872864715,83509.26679562502,94780.09678019313,97289.39872864715,97289.39872864715,-8286.389012855403,-8286.389012855403,-8286.389012855403,-8286.389012855403,-8286.389012855403,-8286.389012855403,0.0,0.0,0.0,89003.00971579175
1970-12-01,97589.20468229655,85229.79366801947,96525.99854476028,97589.20468229655,97589.20468229655,-6803.2372894977525,-6803.2372894977525,-6803.2372894977525,-6803.2372894977525,-6803.2372894977525,-6803.2372894977525,0.0,0.0,0.0,90785.9673927988
