ds,y,yhat
1970-01-01,80173.0,0.0
1970-02-01,77442.0,63889.705300537105
1970-03-01,90223.0,72585.70284442688
1970-04-01,89956.0,85547.27349069084
1970-05-01,97972.0,88426.30444056333
1970-06-01,100035.0,95551.84975366358
1970-07-01,106392.0,98721.72052478175
1970-08-01,106969.0,104439.07480701414
1970-09-01,95254.0,106171.92510059114
1970-10-01,96317.0,97806.16141544163
1970-11-01,89684.0,97401.44525423713
1970-12-01,89911.0,96122.60255446858
1971-01-01,85336.0,148146.12765234866
1971-02-01,80118.0,99061.94894309518
1971-03-01,92974.0,96489.46449021908
1971-04-01,98106.0,94503.82277491136
1971-05-01,103655.0,103531.35280286887
1971-06-01,105433.0,105204.37282298927
1971-07-01,112466.0,110238.1962775629
1971-08-01,112642.0,112298.17638647152
1971-09-01,101290.0,103519.53086696927
1971-10-01,102525.0,102544.17170823194
1971-11-01,95555.0,97563.48667005655
1971-12-01,95515.0,97863.84802002873
1972-01-01,92465.0,102603.70883132431
1972-02-01,88272.0,91332.02763497035
1972-03-01,102926.0,100225.0357562249
1972-04-01,103238.0,106007.26388926497
1972-05-01,110945.0,108952.46174735865
1972-06-01,113265.0,112090.89300914184
1972-07-01,118594.0,118748.95306508774
1972-08-01,119913.0,118783.57785548223
1972-09-01,108072.0,110005.70944738206
1972-10-01,108841.0,109471.93024951324
1972-11-01,100791.0,103255.41825606817
1972-12-01,101040.0,102478.23918884454
1973-01-01,96664.0,105595.95887177487
1973-02-01,92567.0,95474.24737329964
1973-03-01,107490.0,106268.13592464269
1973-04-01,108120.0,108115.4733411897
1973-05-01,114819.0,114770.51705207812
1973-06-01,115859.0,116823.36927422184
1973-07-01,121685.0,121148.72352784056
1973-08-01,124426.0,122530.57573882115
1973-09-01,110332.0,113446.5028997847
1973-10-01,113089.0,111790.4869595015
1973-11-01,104381.0,105937.14001155611
1973-12-01,98856.0,105629.55997769287
1974-01-01,95030.0,101771.75995393567
1974-02-01,86426.0,93290.46574736602
1974-03-01,100736.0,101861.88065086333
1974-04-01,104579.0,102132.04540518911
1974-05-01,112167.0,110297.09891171282
1974-06-01,113888.0,112872.23952465797
1974-07-01,120890.0,119024.92226188723
1974-08-01,124070.0,122386.78806405436
1974-09-01,109125.0,111197.644888558
1974-10-01,112572.0,111661.77840822529
1974-11-01,105079.0,104711.65268310306
1974-12-01,105083.0,101781.72575016669
1975-01-01,98342.0,104128.33352500305
1975-02-01,91303.0,92970.32144309304
1975-03-01,106070.0,105350.02913877189
1975-04-01,107133.0,108894.20056434115
1975-05-01,116659.0,114583.16905870121
1975-06-01,118388.0,117808.61580064367
1975-07-01,124493.0,124529.36787553773
1975-08-01,126103.0,126995.51963686441
1975-09-01,111399.0,112897.21725661455
1975-10-01,115250.0,114521.89823516582
1975-11-01,106990.0,107938.00935746824
1975-12-01,107945.0,107027.27691880864
1976-01-01,102460.0,104656.45857689405
1976-02-01,98528.0,96740.05794595253
1976-03-01,114284.0,112128.20718797695
1976-04-01,117014.0,115050.88856738392
1976-05-01,123278.0,124891.41574383149
1976-06-01,124128.0,125308.25216279014
1976-07-01,130891.0,130410.19504449451
1976-08-01,131913.0,132468.5081089387
1976-09-01,119431.0,118342.32879732043
1976-10-01,121210.0,122347.62545249386
1976-11-01,112996.0,113712.83944194089
1976-12-01,113030.0,113699.53975564668
1977-01-01,102445.0,109943.17535603645
1977-02-01,102416.0,99974.09653302387
1977-03-01,119960.0,116859.49085698598
1977-04-01,121513.0,121490.24390075871
1977-05-01,128884.0,128024.58441853688
1977-06-01,129321.0,129758.88821218943
1977-07-01,136199.0,135829.1331713383
1977-08-01,136337.0,137375.66823600818
1977-09-01,124203.0,124073.50738196896
1977-10-01,127388.0,126205.33749933123
1977-11-01,118486.0,119205.27529434655
1977-12-01,116257.0,118654.16790981582
1978-01-01,109838.0,109637.72017600914
1978-02-01,107018.0,108122.81386012674
1978-03-01,125035.0,123605.06566614695
1978-04-01,122741.0,126398.26640994387
1978-05-01,134427.0,130893.84078752273
1978-06-01,138883.0,134367.36949555555
1978-07-01,148209.0,144214.98560613894
1978-08-01,149461.0,147654.11595339313
1978-09-01,131385.0,136586.4125204701
1978-10-01,132930.0,135544.5901992065
1978-11-01,123690.0,125320.77172590872
1978-12-01,124595.0,122728.8513750102
1979-01-01,114354.0,118707.65809484839
1979-02-01,109650.0,112354.75646533543
1979-03-01,131406.0,127425.56676827655
1979-04-01,129539.0,129589.33685264215
1979-05-01,132394.0,139565.36361006566
1979-06-01,131192.0,137563.11930051105
1979-07-01,134853.0,141321.85977275876
1979-08-01,139942.0,137938.81591236193
1979-09-01,127576.0,123468.03207470018
1979-10-01,131619.0,128354.0394584526
1979-11-01,123381.0,121876.1167484193
1979-12-01,123226.0,123266.73192890326
1980-01-01,116462.0,114947.6757274822
1980-02-01,107338.0,111814.81762469409
