ds,yhat
2014-09-01,11100.39
2014-10-01,11714.19
2014-11-01,11868.805
2014-12-01,12550.8955
2015-01-01,8884.424
2015-02-01,9612.334
2015-03-01,10603.149
2015-04-01,11464.094
2015-05-01,11956.609
2015-06-01,11954.683
2015-07-01,11287.84
2015-08-01,11295.807
2015-09-01,11426.345
2015-10-01,11923.168
2015-11-01,11783.846
2015-12-01,12987.047
2016-01-01,8712.974
2016-02-01,9864.949
2016-03-01,11135.762
2016-04-01,11482.198
2016-05-01,12122.644
2016-06-01,12739.23
2016-07-01,12004.8
2016-08-01,11742.972
2016-09-01,12196.333
2016-10-01,12116.9
2016-11-01,12565.407
2016-12-01,13552.604
2017-01-01,9333.969
2017-02-01,11222.906
2017-03-01,12208.383
2017-04-01,11904.453
2017-05-01,12716.6045
2017-06-01,13271.407
2017-07-01,11809.804
2017-08-01,12694.069
2017-09-01,12386.91
2017-10-01,12414.088
2017-11-01,13279.983
2017-12-01,13723.497
2018-01-01,9657.724
2018-02-01,11435.35
2018-03-01,12490.331
2018-04-01,12335.621
2018-05-01,13535.466
2018-06-01,13870.208
2018-07-01,12292.0
2018-08-01,13152.991
2018-09-01,12353.519
2018-10-01,12909.662
2018-11-01,13391.091
2018-12-01,13695.684
2019-01-01,10050.52
