ds,yhat
2010-03-01,249152.4
2010-04-01,251990.27
2010-05-01,258479.48
2010-06-01,259552.6
2010-07-01,263060.28
2010-08-01,259688.8
2010-09-01,245021.36
2010-10-01,251623.39
2010-11-01,239378.83
2010-12-01,239103.5
2011-01-01,221393.05
2011-02-01,215133.31
2011-03-01,252793.3
2011-04-01,253765.62
2011-05-01,257301.73
2011-06-01,260562.27
2011-07-01,263413.9
2011-08-01,262058.39
2011-09-01,247472.61
2011-10-01,255088.19
2011-11-01,241321.11
2011-12-01,240461.2
2012-01-01,224458.61
2012-02-01,217941.4
2012-03-01,252008.62
2012-04-01,250382.05
2012-05-01,255017.16
2012-06-01,259040.6
2012-07-01,260137.9
2012-08-01,259462.1
2012-09-01,244762.3
2012-10-01,251350.64
2012-11-01,240517.62
2012-12-01,243818.12
2013-01-01,227806.81
2013-02-01,222028.31
2013-03-01,254465.67
2013-04-01,250579.92
2013-05-01,260050.3
2013-06-01,260670.5
2013-07-01,260450.55
2013-08-01,261972.94
2013-09-01,242449.7
2013-10-01,252731.11
2013-11-01,241670.12
2013-12-01,238864.8
2014-01-01,229190.58
2014-02-01,219447.8
2014-03-01,251875.55
2014-04-01,252607.62
2014-05-01,261695.28
2014-06-01,260760.83
2014-07-01,263177.47
2014-08-01,263876.3
2014-09-01,245862.53
2014-10-01,256689.97
2014-11-01,241660.33
2014-12-01,240625.86
2015-01-01,226375.62
2015-02-01,217791.36
2015-03-01,252282.5
2015-04-01,256226.88
2015-05-01,263048.28
2015-06-01,263043.53
2015-07-01,265278.9
2015-08-01,264390.25
2015-09-01,250166.66
2015-10-01,260977.22
2015-11-01,243205.86
2015-12-01,249631.47
2016-01-01,232724.44
2016-02-01,220649.98
2016-03-01,255990.11
2016-04-01,260668.3
2016-05-01,264868.1
2016-06-01,265857.66
2016-07-01,267659.16
2016-08-01,265636.88
2016-09-01,256129.69
2016-10-01,262515.6
2016-11-01,249291.45
2016-12-01,255007.56
2017-01-01,238387.28
2017-02-01,225977.9
2017-03-01,260563.28
2017-04-01,263556.66
2017-05-01,266807.56
2017-06-01,267706.3
2017-07-01,269303.0
2017-08-01,267833.88
2017-09-01,261713.14
2017-10-01,265050.28
2017-11-01,254440.83
2017-12-01,258632.05
2018-01-01,242743.86
2018-02-01,229540.89
2018-03-01,261238.34
2018-04-01,264739.94
2018-05-01,267855.8
2018-06-01,268518.6
2018-07-01,269759.25
2018-08-01,268823.9
2018-09-01,262543.84
2018-10-01,266110.7
2018-11-01,256461.89
2018-12-01,259404.38
