ds,yhat
2009-08-01,-0.121631764
2009-09-01,-1.34272
2009-10-01,0.83070743
2009-11-01,-1.0938953
2009-12-01,0.28489593
2010-01-01,-0.80671513
2010-02-01,-0.5652773
2010-03-01,2.6426554
2010-04-01,-0.096769534
2010-05-01,0.63143235
2010-06-01,0.022080224
2010-07-01,0.2626732
2010-08-01,-0.15057024
2010-09-01,-1.689621
2010-10-01,0.8082207
2010-11-01,-0.9009346
2010-12-01,0.22251691
2011-01-01,-1.0955989
2011-02-01,-0.4557467
2011-03-01,2.572775
2011-04-01,-0.13798982
2011-05-01,0.42790142
2011-06-01,0.023239851
2011-07-01,0.20425743
2011-08-01,0.06249598
2011-09-01,-1.5049239
2011-10-01,0.7768487
2011-11-01,-0.9859895
2011-12-01,0.04196844
2012-01-01,-1.2795457
2012-02-01,-0.7184452
2012-03-01,2.5632548
2012-04-01,-0.45715946
2012-05-01,0.31017062
2012-06-01,0.0064009177
2012-07-01,0.1776984
2012-08-01,0.12958285
2012-09-01,-1.7099057
2012-10-01,0.86331636
2012-11-01,-1.0381469
2012-12-01,0.48168093
2013-01-01,-0.87571394
2013-02-01,-0.825233
2013-03-01,2.3880203
2013-04-01,-0.06440799
2013-05-01,0.7365451
2013-06-01,-0.15519428
2013-07-01,0.044859074
2013-08-01,0.1924353
2013-09-01,-1.8940109
2013-10-01,1.1287407
2013-11-01,-0.99911505
2013-12-01,0.1734104
2014-01-01,-1.0005497
2014-02-01,-0.732146
2014-03-01,2.6525836
2014-04-01,0.0030508072
2014-05-01,0.76448137
2014-06-01,-0.24300471
2014-07-01,0.24331868
2014-08-01,-0.15613279
2014-09-01,-1.7920625
2014-10-01,1.0864841
2014-11-01,-1.3933842
2014-12-01,0.30481103
2015-01-01,-0.86480725
2015-02-01,-0.68696153
2015-03-01,2.6029644
2015-04-01,0.006367258
2015-05-01,0.5119644
2015-06-01,-0.19834869
2015-07-01,0.34092113
2015-08-01,-0.2710512
2015-09-01,-1.6514473
2015-10-01,0.7516091
2015-11-01,-1.0740207
2015-12-01,0.8032666
2016-01-01,-1.4516201
2016-02-01,-0.6510473
2016-03-01,2.617071
2016-04-01,0.0058043315
2016-05-01,0.5145182
2016-06-01,-0.083810136
2016-07-01,0.32342887
2016-08-01,-0.25077125
2016-09-01,-1.6310782
2016-10-01,0.7768959
2016-11-01,-0.89981776
2016-12-01,0.81006604
2017-01-01,-1.5206136
2017-02-01,-0.58822143
2017-03-01,2.6328478
2017-04-01,0.03239496
2017-05-01,0.50201774
2017-06-01,-0.10471158
2017-07-01,0.4384569
2017-08-01,-0.42064527
2017-09-01,-1.6980412
2017-10-01,0.8235221
2017-11-01,-0.960067
2017-12-01,0.85872316
2018-01-01,-1.4535416
2018-02-01,-0.5956665
2018-03-01,2.6262615
2018-04-01,0.07186358
2018-05-01,0.6432334
2018-06-01,-0.1621384
2018-07-01,0.4184935
2018-08-01,-0.5247561
2018-09-01,-1.8580658
2018-10-01,0.82380605
2018-11-01,-1.1056974
2018-12-01,1.0139657
