ds,yhat
2014-01-01,-3.3203943
2014-02-01,0.034900002
2014-03-01,0.4955503
2014-04-01,0.11966324
2014-05-01,0.4378163
2014-06-01,-0.30622086
2014-07-01,0.25783128
2014-08-01,0.7251685
2014-09-01,-0.5846163
2014-10-01,0.19781117
2014-11-01,0.19315338
2014-12-01,1.9932424
2015-01-01,-3.3963165
2015-02-01,-0.06845856
2015-03-01,0.34910464
2015-04-01,0.087721236
2015-05-01,0.39973143
2015-06-01,-0.16739894
2015-07-01,0.25169268
2015-08-01,0.6065604
2015-09-01,-0.3428414
2015-10-01,0.09311468
2015-11-01,-0.09665005
2015-12-01,2.020329
2016-01-01,-3.402486
2016-02-01,-0.012632559
2016-03-01,0.24220166
2016-04-01,0.037225284
2016-05-01,0.25933293
2016-06-01,-0.06767181
2016-07-01,0.15407296
2016-08-01,-0.35763642
2016-09-01,-0.38733023
2016-10-01,-0.055600002
2016-11-01,0.02812582
2016-12-01,1.9368807
2017-01-01,-3.4189901
2017-02-01,0.27809414
2017-03-01,0.42389765
2017-04-01,-0.10209476
2017-05-01,0.3034295
2017-06-01,0.028170072
2017-07-01,0.26219872
2017-08-01,-0.1800317
2017-09-01,-0.4764523
2017-10-01,0.017769936
2017-11-01,0.44987348
2017-12-01,1.9899539
2018-01-01,-3.4189255
2018-02-01,0.044448756
2018-03-01,0.4703421
2018-04-01,-1.3229992
2018-05-01,0.7068594
2018-06-01,-1.2478966
2018-07-01,0.006796993
2018-08-01,-0.1584913
2018-09-01,-0.67426217
2018-10-01,0.1697651
2018-11-01,0.40145585
2018-12-01,1.8519684
