ds,yhat,yhat_lower,yhat_upper
2015-01-01,-274141.1733497167,-11860952.285578752,10694029.493836302
2015-01-02,-919721.8352684621,-12612662.955447838,10420361.574704437
2015-01-03,5303884.748806397,-6622342.072142788,16772263.288594289
2015-01-04,-877380.4481338505,-12283915.246182662,10146031.60171532
2015-01-05,-457426.3984131403,-12435360.75774907,11535855.948347421
2015-01-06,834573.7127786065,-11496945.854542404,12382007.939205855
2015-01-07,157032.25494992826,-11104849.756250279,11295444.826211665
2015-01-08,-106376.39165253658,-11902782.176126651,11220494.424554659
2015-01-09,-1562523.8301035156,-12540472.884043047,10332564.22814062
2015-01-10,5800608.807737374,-6137603.156760396,17015296.4058149
2015-01-11,2811894.972798682,-9299851.000104649,15323324.909681525
2015-01-12,8508452.01390561,-3089914.7068738756,19718168.151709694
2016-01-01,-3278789.6059575323,-15713054.720814506,8729361.403365405
2016-01-02,4056940.579912872,-7100029.407952104,15210012.83035373
2016-01-03,-1246656.5274703251,-12560418.22397229,10043830.259149358
2016-01-04,-238528.15624377318,-11680970.4596025,11313005.379261713
2016-01-05,1306570.9819746604,-10285360.758078286,12830159.231432518
2016-01-06,512631.656079242,-10930040.08636525,13128650.894198615
2016-01-07,-258556.35472303163,-11690317.285809556,11729325.274866793
2016-01-08,-2622206.9670437733,-13750604.67847497,8405114.008172749
2016-01-09,3439497.2250620173,-8660463.230893128,14515679.678599976
2016-01-10,-1224462.1987806326,-12176112.958624844,10546486.608951006
2016-01-11,2457178.2576729814,-9158588.80619806,14091892.89918841
2016-01-12,8759018.38691425,-3053691.599760736,20234073.70988522
2017-01-01,-2751981.89296537,-14837380.224268375,8125199.075682768
2017-01-02,-802083.8604228524,-12373360.408682548,12134438.64490975
2017-01-03,1408237.1131537762,-10022189.487021608,12578386.544566441
2017-01-04,954854.8170202607,-10360380.88780139,12067829.327931039
2017-01-05,162204.75086769648,-11656196.19658556,11329110.505059302
2017-01-06,-2610055.3053497747,-12907464.920970595,8126762.5242895745
2017-01-07,2644091.676739133,-9856707.114526995,14439669.343542822
2017-01-08,-3224142.2859997554,-14069295.123905778,8759034.971977413
2017-01-09,-1126954.7635703664,-12250917.15715979,11193213.136511503
2017-01-10,3240940.2468504566,-8473964.751449678,14197813.716968417
2017-01-11,7022887.533253381,-5312413.992239024,17898299.499215774
2017-01-12,12537196.970503515,1105968.6232404613,24632045.95084891
2018-01-01,-2579539.7858366277,-13956952.296688529,8724759.23085473
2018-01-02,633073.5037449412,-10531116.888090145,13015673.569787247
2018-01-03,918944.5346799539,-10348887.694357129,12500234.705622219
2018-01-04,551967.6825343929,-10405728.31776851,11857404.166834777
2018-01-05,-2148394.5400637994,-14355623.404926378,8729580.545962093
2018-01-06,2795571.945834974,-8140978.841341935,14641920.97834263
2018-01-07,-3780135.2254573917,-14876714.044507833,8662164.419436138
2018-01-08,-2789033.8649398405,-13731547.700936712,8541300.406058973
2018-01-09,87121.69629700296,-11254735.626586352,11423400.761190055
2018-01-10,2018864.9051952204,-9552788.93560622,13567502.41661238
2018-01-11,5365431.6888026865,-6420821.257096693,17690306.656165715
2018-01-12,8458805.770143285,-2939149.6802968024,19923277.492434017
2019-01-01,-1429294.2944524577,-13024456.076818822,10105548.587946557
2019-01-02,-84308.57602693886,-11697608.049793668,10662046.125125822
2019-01-03,358831.51794780605,-11135746.6209052,11811162.77761388
2019-01-04,-1833261.094231801,-13219157.717995899,8811631.92355254
2019-01-05,3274188.3126730104,-8055193.8209343245,14815475.648401596
2019-01-06,-3514225.258161382,-15496555.816473883,9012332.628045846
2019-01-07,-3130597.5142862936,-14176523.672055744,8534313.437788129
2019-01-08,-1261529.5127521036,-13040480.01794443,9933077.104712212
2019-01-09,-727110.5708722314,-13136158.7842779,10299950.76745769
2019-01-10,855555.5768587114,-11279303.394326692,12931114.326959053
2019-01-11,1856014.3266529208,-9948446.752737476,13167886.475324318
2019-01-12,12240066.724980267,1439041.8012602075,23669426.815492555
2020-01-01,-2443376.3455784526,-14215831.66052339,9405577.024991198
2020-01-02,-888112.6498083714,-12346559.195433304,11007060.682814443
2020-01-03,-2202537.1724315705,-13590620.04039193,9527953.838020356
2020-01-04,3493086.555970247,-8222718.395907679,15027572.684510466
2020-01-05,-3042227.9877740517,-15353109.452541392,8875738.059476912
2020-01-06,-2774998.111935068,-13742419.89694182,9622370.033708265
2020-01-07,-1413709.4746598583,-12557711.747733783,10903881.877155945
2020-01-08,-1786793.7066213368,-12888626.18377985,10120263.755300302
2020-01-09,-1505556.0046485467,-12989837.58976392,9633631.19475578
2020-01-10,-2180342.843731844,-13000342.214625245,9320134.896616828
2020-01-11,6188792.969946008,-6022928.066370966,17408281.357023332
2020-01-12,4410219.417212592,-7270758.296503597,16120148.4637957
2021-01-01,-3707862.5364983575,-15246315.884434747,7743471.827725734
2021-01-02,2929530.8532304964,-8171784.97552945,15134285.293960517
2021-01-03,-2940561.855160054,-14861574.23837821,8683896.472950283
2021-01-04,-2332774.949599509,-13370112.671545824,9566135.033369943
2021-02-01,360686125.1806801,348396243.4027844,372559053.5927587
2021-03-01,-152641936.1418629,-163898890.40940595,-140380590.22153944
2021-04-01,-82727857.6417601,-94595228.09221637,-71797978.07410456
2021-05-01,-1247680.3278755406,-12158302.163848508,10009357.135789193
2021-06-01,33937248.060526475,22945847.854163617,45561919.05030689
2021-07-01,40425425.98667383,28483591.708860632,51208135.319684274
2021-08-01,13377697.61387498,2170813.080867546,25071153.795811642
2021-09-01,-23956533.71779778,-35379121.21601311,-12601175.091096995
2021-10-01,-71621065.6916765,-82762916.10373232,-60569960.20544806
2021-11-01,-77006180.30856067,-88167553.37431908,-65115523.21789626
2021-12-01,38933050.777219124,27369190.232000973,50617584.952619426
2022-01-01,1152074.9278089162,-10495219.065955624,13682665.576530186
2022-02-01,361120097.2533458,350211212.0699658,371902529.9521435
2022-03-01,-154009359.43491292,-165223720.6049382,-141772967.80858028
2022-04-01,-83072677.68286945,-93460444.6513484,-71485149.07816654
2022-05-01,-4742455.625815007,-15313632.759510824,6429966.322333708
2022-06-01,35059937.93379349,22370407.704068217,46909223.81708486
2022-07-01,37308422.92040031,26076314.128569786,49086547.79783433
2022-08-01,11941717.760297015,542995.6921867693,22952567.074378368
2022-09-01,-26791508.601197727,-37753528.9495207,-15578435.26286989
