ds,yhat,yhat_lower,yhat_upper
1970-01-01,76296.96544095,71179.5040334189,81343.09831192745
1970-02-01,69174.96946493266,64198.27005851478,74060.6624126695
1970-03-01,94036.35697867941,88827.90710885567,98975.1729805774
1970-04-01,94146.47949834063,89090.1628949504,99336.94019184395
1970-05-01,104478.94946316263,99494.72931475796,109621.46115936036
1970-06-01,104908.73437004685,99837.5925074513,110166.66082968703
1970-07-01,111789.47749200511,106369.36457648732,116785.73533975711
1970-08-01,113057.82444894618,107961.58876757837,118421.07450111255
1970-09-01,95663.3932186476,90535.98718396475,100605.91825222687
1970-10-01,101548.57892248302,96132.11814820489,106580.45969828329
1970-11-01,89415.97719067255,84420.81997435387,94680.47062446755
1970-12-01,89932.14442983645,84821.57510375892,94860.10935034051
1971-01-01,80422.97169553254,75590.88658221424,85507.63327558665
1971-02-01,73106.19644595488,68414.88702025074,78011.32315678189
1971-03-01,97392.86915862311,92272.34010871778,102720.3918072516
1971-04-01,97433.81308740888,92360.20198140175,102389.14263925275
1971-05-01,108010.10792405652,102755.65264524004,112969.92333379679
1971-06-01,108793.5467466792,103976.55235465633,113810.218563077
1971-07-01,115533.35890708641,110802.49363296453,120516.46359312245
1971-08-01,116990.31922280943,111749.78332658327,121999.68319651797
1971-09-01,99254.26563074869,94488.36891499428,104632.71696387698
1971-10-01,105099.54501328115,100039.29426199778,110694.78730906786
1971-11-01,93141.44665017333,87954.21288006949,98342.25476905012
1971-12-01,93326.2587202453,88274.43728452336,98388.6536983886
1972-01-01,84557.9499371239,79621.44543595289,89790.93554071322
1972-02-01,77035.83303305495,72120.69523812279,82241.96562255723
1972-03-01,101988.24032857515,96902.73268259031,106918.89348778084
1972-04-01,102288.12467330517,97209.99872772329,107215.82273167848
1972-05-01,112152.11796267549,107361.83116086951,117574.98995859787
1972-06-01,111871.96146098337,106904.58391455656,116785.36410016191
1972-07-01,119008.56569496889,114015.17065769163,123902.29980337372
1972-08-01,119877.38771975762,114459.06512652978,125056.10186537381
1972-09-01,103180.53278911761,98008.75510947207,108758.30125944158
1972-10-01,109143.81667547888,104164.65134961005,114064.92127965605
1972-11-01,96677.1072272428,91673.85864352882,101506.08055912709
1972-12-01,97867.817522872,92928.20187458812,103018.59740992518
1973-01-01,86883.21662946558,81852.02293631034,92112.01039280962
1973-02-01,79944.28570213649,74896.7623083854,85004.59820729317
1973-03-01,105365.32236355232,100055.76168610531,110485.3324156867
1973-04-01,105560.60755991716,100520.64309131094,110278.39055557693
1973-05-01,115654.32392226558,110532.68031125561,120519.10407336689
1973-06-01,115728.19173529213,110823.3169832283,120884.04257023966
1973-07-01,122739.99530431458,117685.65278240622,128025.81251499413
1973-08-01,123811.48849596514,118878.58515556902,129176.62547649692
1973-09-01,106762.7476812645,101598.63409159955,111869.69485519329
1973-10-01,112686.500465724,107774.98829331802,117771.53220241705
1973-11-01,100383.51028949681,95875.79552880942,105655.21017826343
1973-12-01,101234.21153864241,95978.92348650559,106361.46704063917
1974-01-01,90985.21714535754,85749.8467018861,96125.28382396293
1974-02-01,83861.98109920186,78919.5627300786,88796.2123092176
1974-03-01,108722.24854959795,103754.88366388743,113817.11328311487
1974-04-01,108831.1309991212,103428.76420261235,113814.83072255577
1974-05-01,119162.40089606748,114195.35189845633,124416.73974314224
1974-06-01,119590.94573281355,114282.97710308358,124885.98942915119
1974-07-01,126470.48878689612,121225.42906253079,131890.4125853383
1974-08-01,127737.59567369895,122864.55597696695,132658.8819271116
1974-09-01,110341.92437326211,105501.41999354525,115412.36011609543
1974-10-01,116225.91000922193,111142.87913910943,121100.27553299906
1974-11-01,104092.06820727327,98699.08378498281,109220.91625713884
1974-12-01,104607.03537856168,99361.17951518354,109671.19871220893
1975-01-01,95096.62257411957,89852.6025997268,100082.98930115343
1975-02-01,87778.60725811184,82486.24092992216,92711.20977046956
1975-03-01,112064.15991077833,106748.49248925335,117429.69614143763
1975-04-01,112103.86377313435,106737.38703252257,116913.07853807483
1975-05-01,122678.95854553707,117665.57553340617,127518.49713085344
1975-06-01,123461.15730177367,118234.14143712219,128488.11709467685
1975-07-01,130199.76939793615,125146.9402952747,135296.04286129866
1975-08-01,131655.48964727283,126432.6653926243,136934.48252049086
1975-09-01,113918.19598882597,108854.51143860607,118868.0301776912
1975-10-01,119762.27530711338,114908.82500378523,124727.19051761714
1975-11-01,107802.9368776197,102608.31193558316,112760.80167808733
1975-12-01,107986.54888344664,102980.64316879521,113194.41579909848
1976-01-01,99217.00003393918,94734.91987448154,104148.87985801186
1976-02-01,91693.64306348392,86424.91273983555,96763.74987974566
1976-03-01,116644.890296901,111664.41690021227,121682.0129490449
1976-04-01,116943.53457524473,111778.18012712605,121751.94159834813
1976-05-01,126806.32780207976,121709.51612196662,131618.50847959664
1976-06-01,126524.9312357679,121645.61485839047,131322.72069101752
1976-07-01,133660.335407218,128419.6404890581,138730.44503041066
1976-08-01,134529.15740234958,128954.70944522791,139558.7212278656
1976-09-01,117832.30244205185,112476.604488915,122975.55181829879
1976-10-01,123795.58629971236,118785.13817751028,129180.73920780796
1976-11-01,111328.87682181885,106373.35308870545,116646.07330802182
1976-12-01,112519.58708874728,107471.58742075105,117326.22413602333
1977-01-01,101534.98616568344,96406.70612441897,106290.68745663542
1977-02-01,94596.05520869681,89471.3469122035,99732.66356336948
1977-03-01,120017.09184332553,114676.84081741124,125062.28763372396
1977-04-01,120212.37701003283,115030.39039316453,124965.49708194786
1977-05-01,130306.09334368045,125322.34273579666,135372.54395710153
1977-06-01,130379.96112704992,125526.00997163002,135633.72417556716
1977-07-01,137391.7646673715,132510.2938432986,142487.60585969256
1977-08-01,138428.69331319703,133387.6311212697,143508.19725263724
1977-09-01,121345.38795267062,116203.5918271992,126308.42696877671
1977-10-01,127235.69117665439,122098.16143235593,131911.47457884782
1977-11-01,114898.13648973368,110087.74492022219,120043.900503099
1977-12-01,115715.3882124016,110567.36162623308,120993.56894998363
1978-01-01,105431.82930842391,99979.27682909396,110201.10814050403
1978-02-01,98274.02875157463,93236.77915590069,103138.41564971759
1978-03-01,123103.0766439254,117603.90025326442,128102.4048612137
1978-04-01,123177.39458275455,118106.89809027241,128184.58212108798
1978-05-01,133475.21495322348,128039.77995050665,138503.78441972483
1978-06-01,133869.1952792769,128698.7442769827,138846.40979420082
1978-07-01,140715.288806882,135790.59998262147,145675.02876418203
1978-08-01,141947.83118299145,137016.09867784512,146867.5958390767
1978-09-01,124517.59537186127,119581.1107315967,129468.3756379161
1978-10-01,130368.13148134382,125420.93732279015,135530.83827566766
1978-11-01,118084.97421429765,113584.23538316692,122996.53301151028
1978-12-01,118455.44254839461,113462.91457928176,123295.55726779059
1979-01-01,108795.71427885487,103830.27800534268,114005.4967846055
1979-02-01,101328.38349404182,96011.72057349718,106503.78567544607
1979-03-01,125479.07056198051,120557.62845128759,130269.49061880464
1979-04-01,125369.45895553117,120361.80352420858,130456.53227173878
1979-05-01,135800.05488715373,130632.05791584672,140773.4351837419
1979-06-01,136432.9381745846,131410.06853833064,141321.97434934918
1979-07-01,143027.0514299674,137876.59909663306,147697.12703268699
1979-08-01,144333.45621049913,139364.12068355706,149055.49248453326
