ds,yhat,yhat_lower,yhat_upper
2015-01-01,6718968.887810689,2820765.8374700504,10828606.85302395
2015-01-02,1606792.0348079875,-2336369.069725818,5319766.976521854
2015-01-03,1027284.2073943708,-2886687.032845264,4943947.475958491
2015-01-04,380546.3848784361,-3562852.8291324587,4272160.462713542
2015-01-05,241050.280863218,-4011960.6986256056,4337708.6689453935
2015-01-06,275297.25445385836,-3840224.1316143237,4256025.3372300165
2015-01-07,212407.22366463952,-3661488.580387785,4202890.201410162
2015-01-08,3214870.630382562,-234130.5638616857,7472552.228865545
2015-01-09,221383.0747477021,-3647706.2504819264,4166870.5423872746
2015-01-10,783757.2522216011,-3249599.7868399727,4755557.046837903
2015-01-11,511819.0554222688,-3468499.0554025057,4277679.84863739
2015-01-12,215151.4283494372,-3864296.863105854,4192209.975060984
2016-01-01,3999307.7321064174,-334911.133732654,7670802.54463672
2016-01-02,2340286.5614063498,-1500444.7945863323,6385969.24812264
2016-01-03,879636.1129250936,-3014016.709099204,4458757.022994665
2016-01-04,176699.2760837376,-3634580.2594024073,4189037.6287440886
2016-01-05,-126978.80483824946,-3948853.6556843263,3509900.0493151033
2016-01-06,-335715.3720732853,-4154438.43843314,3398312.2163688033
2016-01-07,2672675.49760668,-877336.4943169672,6716192.667890353
2016-01-08,-208458.69187083095,-3839868.7940564384,3687978.160085187
2016-01-09,524273.9113682341,-3247599.049648352,4661201.333357863
2016-01-10,431256.15702199563,-3603033.073726964,4116895.064277477
2016-01-11,273666.6220546905,-3766085.803402522,4230936.240578404
2016-01-12,-77234.93667312525,-3863385.930132164,3888919.679246907
2017-01-01,2437257.854488168,-1448400.3484163696,6533664.288130777
2017-01-02,855017.4055523258,-2949408.4333920814,5018591.258715256
2017-01-03,-72742.88106694631,-3921485.9184805956,4012296.406546634
2017-01-04,-672954.2651078738,-4705226.758159307,3266248.4473424796
2017-01-05,2145110.496654896,-1795998.797823915,6373321.799074368
2017-01-06,-763952.5780307427,-4395591.419498348,3164284.330967503
2017-01-07,58981.01381400041,-3756721.026780296,4332169.660307043
2017-01-08,126451.16256861947,-3956144.816823166,4045599.978295011
2017-01-09,150254.95607705414,-3422232.2317727217,4212717.367965499
2017-01-10,-47203.03841442242,-3784852.8264041403,3800166.4278204953
2017-01-11,-569176.8414862696,-4605531.647385852,3505691.3802207415
2017-01-12,1919006.581084583,-2113565.034751341,6155748.257000028
2018-01-01,2674045.225316016,-1153894.9859740473,6812341.892962964
2018-01-02,800804.5979224332,-2927390.9433682812,4554044.577900024
2018-01-03,-485550.08014024794,-4664733.909475923,3535846.066107236
2018-01-04,1885516.32212138,-2008514.267737248,5650888.564467402
2018-01-05,-1260783.1162072346,-5205150.580572728,2535825.647824538
2018-01-06,-502410.9837511759,-4338626.551108478,3468565.33340386
2018-01-07,-369892.4000447877,-4240663.767831349,3701553.224641481
2018-01-08,-198567.6960769035,-4021268.0839809496,3814806.352989466
2018-01-09,-215222.84735533968,-4107216.7526316014,4042574.448792277
2018-01-10,-572291.1122223232,-4272725.145375643,3495109.705969317
2018-01-11,2017772.581824381,-2033231.3090861656,6067345.711030618
2018-01-12,-1379961.0447235163,-5107860.160342419,2366253.177606686
2019-01-01,2898115.133548327,-736002.2605215149,7027386.485194246
2019-01-02,599486.2220390439,-3649161.010611687,4356043.966906058
2019-01-03,2221080.3764371593,-1405810.9780813372,6272284.110698928
2019-01-04,-1429584.6911704503,-5351011.725056455,2451911.0619079215
2019-01-05,-957685.5889599063,-4506405.614688732,3079934.6185462438
2019-01-06,-929061.9484119136,-4820369.7365847,2938718.513812343
2019-01-07,-720797.3558625206,-4845803.658468659,3027698.0947798328
2019-01-08,-605983.1233093161,-4416079.197751922,3500416.9819708634
2019-01-09,-785922.7374336049,-4726942.29853649,2883976.3539708615
2019-01-10,1977553.4218735509,-1637078.2921842707,5773798.841939334
2019-01-11,-1298312.0199790988,-5378514.200010097,2558673.2299258783
2019-01-12,-983584.440789314,-4802446.624670883,2893855.3806843953
2020-01-01,2992001.957101617,-792296.6202582535,7044746.754523802
2020-01-02,3534082.7682101484,-616569.3738054762,7317127.207327967
2020-01-03,-930494.9253135156,-4679863.937886493,3211161.5980398613
2020-01-04,-1022036.5559335295,-4904165.494896445,2944399.401034283
2020-01-05,-1331337.969903987,-5261207.029928497,2625643.5212511695
2020-01-06,-1268919.9138000775,-5303024.314724091,2502581.6807338456
2020-01-07,-1148178.2182761822,-4946759.037856692,2876405.9252131446
2020-01-08,-1215764.466286216,-5311458.1662498275,2634661.1083261874
2020-01-09,1718070.1187654175,-2222595.6736478307,5567904.0316605745
2020-01-10,-1378874.8806749284,-5325153.814287348,2370220.083810374
2020-01-11,-925069.2094190698,-5021917.590136597,3042616.7083353647
2020-01-12,-1281594.1012220066,-5166830.340412933,2303440.418489916
2021-01-01,627126.8404799942,-3330976.4208883727,4424430.555905024
2021-01-02,-343718.40220125765,-4306112.40576276,3639262.716543255
2021-01-03,-1277102.021926375,-5102951.553200051,2536956.7397447927
2021-01-04,-1606158.7826312054,-5585462.318756521,2430348.7740065875
2021-02-01,139465685.50684264,135500035.93727818,143155274.47197592
2021-03-01,-141580900.00128308,-145565307.02128685,-137775626.56020215
2021-04-01,-15875065.916320635,-19915593.397472225,-11959180.316747306
2021-05-01,51571930.718590304,47674412.81054428,55391295.60867996
2021-06-01,49484598.66996192,45430412.8595057,53374957.59665993
2021-07-01,2894260.293360427,-1063209.5918646588,7037411.238892809
2021-08-01,-53576619.73221879,-57704653.4670093,-49479812.90010978
2021-09-01,-94297054.22684409,-98189267.90448734,-90192555.75880104
2021-10-01,-80693129.58778971,-84577880.04673915,-76853883.90152754
2021-11-01,23475577.97663176,19812434.24152926,27470235.613445845
2021-12-01,280232230.72620624,276213042.2417268,284223646.83035976
2022-01-01,1475309.4247049745,-2357157.7154944823,5351691.745573654
2022-02-01,135648529.73285887,131646944.99228367,139293686.56883278
2022-03-01,-140090201.30740944,-143981340.146033,-136033965.95268333
2022-04-01,-15190768.115592074,-18875092.615665562,-11188092.309971115
2022-05-01,52867896.707383305,49026875.548767805,56815064.535910174
2022-06-01,47891576.8606101,44164639.20810596,51740061.58514373
2022-07-01,-3389525.8498461563,-7327820.484631069,432584.4447327473
2022-08-01,-56434622.52004664,-60002159.12029846,-52563783.47939748
2022-09-01,-92243273.22993356,-96067544.1907752,-88316009.62936069
