ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1970-01-01,94251.365065,70341.99610193442,81475.12688310869,94251.365065,94251.365065,-18586.9834007,-18586.9834007,-18586.9834007,-18586.9834007,-18586.9834007,-18586.9834007,0.0,0.0,0.0,75664.3816643
1970-02-01,94561.16455043771,61782.76767215677,72650.36309484954,94561.16455043771,94561.16455043771,-27342.51536892757,-27342.51536892757,-27342.51536892757,-27342.51536892757,-27342.51536892757,-27342.51536892757,0.0,0.0,0.0,67218.64918151015
1970-03-01,94840.98344051048,89284.99039644988,100997.56258368815,94840.98344051048,94840.98344051048,16.39713050465029,16.39713050465029,16.39713050465029,16.39713050465029,16.39713050465029,16.39713050465029,0.0,0.0,0.0,94857.38057101512
1970-04-01,95150.78292594818,89586.06505567362,100686.35154525746,95150.78292594818,95150.78292594818,149.6307200299875,149.6307200299875,149.6307200299875,149.6307200299875,149.6307200299875,149.6307200299875,0.0,0.0,0.0,95300.41364597817
1970-05-01,95450.58887959756,99841.88278486997,110856.61561383096,95450.58887959756,95450.58887959756,9821.566368456159,9821.566368456159,9821.566368456159,9821.566368456159,9821.566368456159,9821.566368456159,0.0,0.0,0.0,105272.15524805372
1970-06-01,95760.38836503527,99865.41978034182,111286.72775496509,95760.38836503527,95760.38836503527,9791.533185169736,9791.533185169736,9791.533185169736,9791.533185169736,9791.533185169736,9791.533185169736,0.0,0.0,0.0,105551.921550205
1970-07-01,96060.19431868466,107008.19099160112,117577.59909494701,96060.19431868466,96060.19431868466,16132.394785324112,16132.394785324112,16132.394785324112,16132.394785324112,16132.394785324112,16132.394785324112,0.0,0.0,0.0,112192.58910400877
1970-08-01,96369.99380412236,107215.71969869145,118182.87050510965,96369.99380412236,96369.99380412236,16477.051319719703,16477.051319719703,16477.051319719703,16477.051319719703,16477.051319719703,16477.051319719703,0.0,0.0,0.0,112847.04512384206
1970-09-01,96679.79328956007,89099.7505624651,100195.79491692138,96679.79328956007,96679.79328956007,-1838.7949620354752,-1838.7949620354752,-1838.7949620354752,-1838.7949620354752,-1838.7949620354752,-1838.7949620354752,0.0,0.0,0.0,94840.99832752459
1970-10-01,96979.59924320945,97104.01472258453,107804.68683153631,96979.59924320945,96979.59924320945,5483.029190894108,5483.029190894108,5483.029190894108,5483.029190894108,5483.029190894108,5483.029190894108,0.0,0.0,0.0,102462.62843410356
1970-11-01,97289.39872864715,84002.12728368337,94431.09767482588,97289.39872864715,97289.39872864715,-8286.389012855403,-8286.389012855403,-8286.389012855403,-8286.389012855403,-8286.389012855403,-8286.389012855403,0.0,0.0,0.0,89003.00971579175
1970-12-01,97589.20468229655,85510.44968242518,96573.08648075983,97589.20468229655,97589.20468229655,-6803.2372894977525,-6803.2372894977525,-6803.2372894977525,-6803.2372894977525,-6803.2372894977525,-6803.2372894977525,0.0,0.0,0.0,90785.9673927988
1971-01-01,97899.00416773425,74356.64887971518,85351.07742300245,97899.00416773425,97899.00416773425,-18299.7009821048,-18299.7009821048,-18299.7009821048,-18299.7009821048,-18299.7009821048,-18299.7009821048,0.0,0.0,0.0,79599.30318562945
1971-02-01,98208.80365317196,65608.13307181772,76128.71724995076,98208.80365317196,98208.80365317196,-26983.54797480022,-26983.54797480022,-26983.54797480022,-26983.54797480022,-26983.54797480022,-26983.54797480022,0.0,0.0,0.0,71225.25567837173
1971-03-01,98488.62254324471,92612.5976885204,103580.7507616796,98488.62254324471,98488.62254324471,-368.54548262108733,-368.54548262108733,-368.54548262108733,-368.54548262108733,-368.54548262108733,-368.54548262108733,0.0,0.0,0.0,98120.07706062362
1971-04-01,98798.42202868243,92910.24873014276,104324.0445073858,98798.42202868243,98798.42202868243,-146.35563390960064,-146.35563390960064,-146.35563390960064,-146.35563390960064,-146.35563390960064,-146.35563390960064,0.0,0.0,0.0,98652.06639477283
1971-05-01,99098.22798233181,103596.91737093408,114151.2620189196,99098.22798233181,99098.22798233181,9566.631326962053,9566.631326962053,9566.631326962053,9566.631326962053,9566.631326962053,9566.631326962053,0.0,0.0,0.0,108664.85930929387
1971-06-01,99408.02746776951,103763.80803395012,115030.42956281514,99408.02746776951,99408.02746776951,9999.03271708921,9999.03271708921,9999.03271708921,9999.03271708921,9999.03271708921,9999.03271708921,0.0,0.0,0.0,109407.06018485872
1971-07-01,99707.8334214189,110233.75882931874,121681.09056214921,99707.8334214189,99707.8334214189,16282.309595061612,16282.309595061612,16282.309595061612,16282.309595061612,16282.309595061612,16282.309595061612,0.0,0.0,0.0,115990.1430164805
1971-08-01,100017.6329068566,111146.82427920669,122159.99195100178,100017.6329068566,100017.6329068566,16641.677385801515,16641.677385801515,16641.677385801515,16641.677385801515,16641.677385801515,16641.677385801515,0.0,0.0,0.0,116659.3102926581
1971-09-01,100327.43238982996,92971.51743153868,104285.54758971265,100327.43238982996,100327.43238982996,-1811.6317415332471,-1811.6317415332471,-1811.6317415332471,-1811.6317415332471,-1811.6317415332471,-1811.6317415332471,0.0,0.0,0.0,98515.80064829672
1971-10-01,100627.23834109452,100297.57503542863,111185.30475594586,100627.23834109452,100627.23834109452,5348.119675528303,5348.119675528303,5348.119675528303,5348.119675528303,5348.119675528303,5348.119675528303,0.0,0.0,0.0,105975.35801662282
1971-11-01,100937.03782406788,87089.26073561911,98219.92555643419,100937.03782406788,100937.03782406788,-8380.246145765364,-8380.246145765364,-8380.246145765364,-8380.246145765364,-8380.246145765364,-8380.246145765364,0.0,0.0,0.0,92556.79167830251
1971-12-01,101236.84377533243,88482.80435457983,99757.22520953801,101236.84377533243,101236.84377533243,-6903.120123287514,-6903.120123287514,-6903.120123287514,-6903.120123287514,-6903.120123287514,-6903.120123287514,0.0,0.0,0.0,94333.72365204491
1972-01-01,101546.64325830579,77816.22244744764,89184.9478698238,101546.64325830579,101546.64325830579,-18003.743282019415,-18003.743282019415,-18003.743282019415,-18003.743282019415,-18003.743282019415,-18003.743282019415,0.0,0.0,0.0,83542.89997628637
1972-02-01,101856.44274127916,69435.50396362583,80404.64041139648,101856.44274127916,101856.44274127916,-26624.001422658817,-26624.001422658817,-26624.001422658817,-26624.001422658817,-26624.001422658817,-26624.001422658817,0.0,0.0,0.0,75232.44131862035
1972-03-01,102146.25516083487,97257.99053754841,108194.01765468554,102146.25516083487,102146.25516083487,738.8642618338381,738.8642618338381,738.8642618338381,738.8642618338381,738.8642618338381,738.8642618338381,0.0,0.0,0.0,102885.11942266871
1972-04-01,102456.05464380822,97819.95799969546,109154.10388786481,102456.05464380822,102456.05464380822,744.1676408800137,744.1676408800137,744.1676408800137,744.1676408800137,744.1676408800137,744.1676408800137,0.0,0.0,0.0,103200.22228468824
1972-05-01,102755.8605950728,107465.8100391255,118808.82090526607,102755.8605950728,102755.8605950728,10354.0668131116,10354.0668131116,10354.0668131116,10354.0668131116,10354.0668131116,10354.0668131116,0.0,0.0,0.0,113109.92740818439
1972-06-01,103065.66007804613,106957.40859901247,118263.606170682,103065.66007804613,103065.66007804613,9405.359490832343,9405.359490832343,9405.359490832343,9405.359490832343,9405.359490832343,9405.359490832343,0.0,0.0,0.0,112471.01956887847
1972-07-01,103365.46602931069,113424.05032957588,124898.01620513976,103365.46602931069,103365.46602931069,15827.830036962176,15827.830036962176,15827.830036962176,15827.830036962176,15827.830036962176,15827.830036962176,0.0,0.0,0.0,119193.29606627286
1972-08-01,103675.26551228405,114200.93823901068,125229.53462166488,103675.26551228405,103675.26551228405,16124.892373850913,16124.892373850913,16124.892373850913,16124.892373850913,16124.892373850913,16124.892373850913,0.0,0.0,0.0,119800.15788613497
1972-09-01,103985.06499525742,96658.70637734797,107430.0347981344,103985.06499525742,103985.06499525742,-1898.975931433376,-1898.975931433376,-1898.975931433376,-1898.975931433376,-1898.975931433376,-1898.975931433376,0.0,0.0,0.0,102086.08906382404
1972-10-01,104284.87094652196,104069.34803763521,115473.5809580152,104284.87094652196,104284.87094652196,5733.5953419790185,5733.5953419790185,5733.5953419790185,5733.5953419790185,5733.5953419790185,5733.5953419790185,0.0,0.0,0.0,110018.46628850097
1972-11-01,104594.67042949532,90929.04983932903,101656.35709913431,104594.67042949532,104594.67042949532,-8086.389909195593,-8086.389909195593,-8086.389909195593,-8086.389909195593,-8086.389909195593,-8086.389909195593,0.0,0.0,0.0,96508.28052029973
1972-12-01,104894.47638075986,92971.36961482858,103525.48915036095,104894.47638075986,104894.47638075986,-6585.280465097644,-6585.280465097644,-6585.280465097644,-6585.280465097644,-6585.280465097644,-6585.280465097644,0.0,0.0,0.0,98309.19591566222
1973-01-01,105204.27586373323,81064.3751186725,91640.9517654719,105204.27586373323,105204.27586373323,-18865.28705838449,-18865.28705838449,-18865.28705838449,-18865.28705838449,-18865.28705838449,-18865.28705838449,0.0,0.0,0.0,86338.98880534874
1973-02-01,105514.07534670658,71702.21214535384,83339.4390134252,105514.07534670658,105514.07534670658,-27700.303659185174,-27700.303659185174,-27700.303659185174,-27700.303659185174,-27700.303659185174,-27700.303659185174,0.0,0.0,0.0,77813.77168752141
1973-03-01,105793.89423455347,100565.3892368453,111643.37247685826,105793.89423455347,105793.89423455347,385.6230691823107,385.6230691823107,385.6230691823107,385.6230691823107,385.6230691823107,385.6230691823107,0.0,0.0,0.0,106179.51730373579
1973-04-01,106103.6937033902,101168.58574238954,112128.37171042111,106103.6937033902,106103.6937033902,446.626288578332,446.626288578332,446.626288578332,446.626288578332,446.626288578332,446.626288578332,0.0,0.0,0.0,106550.31999196854
1973-05-01,106403.49964097413,110969.49281069174,122569.28983964134,106403.49964097413,106403.49964097413,10084.13866000672,10084.13866000672,10084.13866000672,10084.13866000672,10084.13866000672,10084.13866000672,0.0,0.0,0.0,116487.63830098085
1973-06-01,106713.29910981083,110877.66141116587,121789.64426176209,106713.29910981083,106713.29910981083,9593.560285430138,9593.560285430138,9593.560285430138,9593.560285430138,9593.560285430138,9593.560285430138,0.0,0.0,0.0,116306.85939524097
1973-07-01,107013.10504739475,117293.98316773346,128658.07875920938,107013.10504739475,107013.10504739475,15980.787794650667,15980.787794650667,15980.787794650667,15980.787794650667,15980.787794650667,15980.787794650667,0.0,0.0,0.0,122993.89284204542
1973-08-01,107322.90451623146,117953.98944329875,129085.22450226308,107322.90451623146,107322.90451623146,16304.735999130353,16304.735999130353,16304.735999130353,16304.735999130353,16304.735999130353,16304.735999130353,0.0,0.0,0.0,123627.64051536181
1973-09-01,107632.70398506818,100539.61479720379,111327.7515411712,107632.70398506818,107632.70398506818,-1867.9022899779159,-1867.9022899779159,-1867.9022899779159,-1867.9022899779159,-1867.9022899779159,-1867.9022899779159,0.0,0.0,0.0,105764.80169509025
1973-10-01,107932.50992265208,107600.46877761304,118949.58681934819,107932.50992265208,107932.50992265208,5611.60268915868,5611.60268915868,5611.60268915868,5611.60268915868,5611.60268915868,5611.60268915868,0.0,0.0,0.0,113544.11261181076
1973-11-01,108242.30939148879,94269.08894033179,105814.22346008153,108242.30939148879,108242.30939148879,-8188.342235072218,-8188.342235072218,-8188.342235072218,-8188.342235072218,-8188.342235072218,-8188.342235072218,0.0,0.0,0.0,100053.96715641656
1973-12-01,108542.11532907271,96237.65417789889,107595.04262664734,108542.11532907271,108542.11532907271,-6697.245992543249,-6697.245992543249,-6697.245992543249,-6697.245992543249,-6697.245992543249,-6697.245992543249,0.0,0.0,0.0,101844.86933652946
1974-01-01,108851.91479790943,84763.81383502742,96108.31606680129,108851.91479790943,108851.91479790943,-18586.98340069993,-18586.98340069993,-18586.98340069993,-18586.98340069993,-18586.98340069993,-18586.98340069993,0.0,0.0,0.0,90264.9313972095
1974-02-01,109161.71426674613,76428.13778813768,87177.3795627101,109161.71426674613,109161.71426674613,-27342.515368927536,-27342.515368927536,-27342.515368927536,-27342.515368927536,-27342.515368927536,-27342.515368927536,0.0,0.0,0.0,81819.1988978186
1974-03-01,109441.53314182445,104089.88142511804,115206.72189781432,109441.53314182445,109441.53314182445,16.397130504593306,16.397130504593306,16.397130504593306,16.397130504593306,16.397130504593306,16.397130504593306,0.0,0.0,0.0,109457.93027232905
1974-04-01,109751.33261066115,104214.65906834496,115522.27138988381,109751.33261066115,109751.33261066115,149.63072003016816,149.63072003016816,149.63072003016816,149.63072003016816,149.63072003016816,149.63072003016816,0.0,0.0,0.0,109900.96333069132
1974-05-01,110051.13854824507,114537.96223355345,125197.4620413179,110051.13854824507,110051.13854824507,9821.566368456279,9821.566368456279,9821.566368456279,9821.566368456279,9821.566368456279,9821.566368456279,0.0,0.0,0.0,119872.70491670135
1974-06-01,110360.93801708177,114535.30431113842,125737.65630071916,110360.93801708177,110360.93801708177,9791.533185169868,9791.533185169868,9791.533185169868,9791.533185169868,9791.533185169868,9791.533185169868,0.0,0.0,0.0,120152.47120225165
1974-07-01,110660.7439546657,121114.30727319373,132134.29713303427,110660.7439546657,110660.7439546657,16132.394785324228,16132.394785324228,16132.394785324228,16132.394785324228,16132.394785324228,16132.394785324228,0.0,0.0,0.0,126793.13873998992
1974-08-01,110970.5434235024,121914.64858955443,133385.2621978943,110970.5434235024,110970.5434235024,16477.051319719663,16477.051319719663,16477.051319719663,16477.051319719663,16477.051319719663,16477.051319719663,0.0,0.0,0.0,127447.59474322206
1974-09-01,111280.3428923391,103950.52896654244,115044.67315386611,111280.3428923391,111280.3428923391,-1838.7949620354677,-1838.7949620354677,-1838.7949620354677,-1838.7949620354677,-1838.7949620354677,-1838.7949620354677,0.0,0.0,0.0,109441.54793030364
1974-10-01,111580.1488171438,111378.60158425104,122525.90822309686,111580.1488171438,111580.1488171438,5483.029190894146,5483.029190894146,5483.029190894146,5483.029190894146,5483.029190894146,5483.029190894146,0.0,0.0,0.0,117063.17800803794
1974-11-01,111889.9482727753,97993.46974284267,109114.5544041843,111889.9482727753,111889.9482727753,-8286.389012855387,-8286.389012855387,-8286.389012855387,-8286.389012855387,-8286.389012855387,-8286.389012855387,0.0,0.0,0.0,103603.55925991992
1974-12-01,112189.75419758,99671.54799383794,111451.97562186186,112189.75419758,112189.75419758,-6803.2372894975615,-6803.2372894975615,-6803.2372894975615,-6803.2372894975615,-6803.2372894975615,-6803.2372894975615,0.0,0.0,0.0,105386.51690808244
1975-01-01,112499.55365321151,88661.85349477615,100009.10677039372,112499.55365321151,112499.55365321151,-18299.700982104656,-18299.700982104656,-18299.700982104656,-18299.700982104656,-18299.700982104656,-18299.700982104656,0.0,0.0,0.0,94199.85267110686
1975-02-01,112809.35310884302,80172.00324694173,91390.92744756675,112809.35310884302,112809.35310884302,-26983.547974800094,-26983.547974800094,-26983.547974800094,-26983.547974800094,-26983.547974800094,-26983.547974800094,0.0,0.0,0.0,85825.80513404292
1975-03-01,113089.17197199404,107101.94407064348,118605.47997704009,113089.17197199404,113089.17197199404,-368.5454826213542,-368.5454826213542,-368.5454826213542,-368.5454826213542,-368.5454826213542,-368.5454826213542,0.0,0.0,0.0,112720.62648937269
